"","x"
"1038","60"
"1039","75"
"1040","57"
"1041","96"
"1042","58"
"1043","85"
"1044","91"
"1045","36"
"1046","67"
"1047","90"
"1048","26"
"1049","00"
"1050","05"
"1051","46"
"1052","42"
"1053","74"
"1054","72"
"1055","28"
"1056","25"
"1057","76"
"1058","53"
"1059","22"
"1060","41"
"1061","60"
"1062","32"
"1063","05"
"1064","26"
"1065","11"
"1066","09"
"1067","23"
"1068","11"
"1069","47"
"1070","16"
"1071","73"
"1072","56"
"1073","43"
"1074","83"
"1075","63"
"1076","73"
"1077","41"
"1078","85"
"1079","68"
"1080","73"
"1081","63"
"1082","75"
"1083","64"
"1084","03"
"1085","01"
"1086","73"
"1087","93"
"1088","92"
"1089","72"
"1090","54"
"1091","63"
"1092","63"
"1093","48"
"1094","31"
"1095","53"
"1096","51"
"1097","36"
"1098","31"
"1099","85"
"1100","74"
"1101","24"
"1102","02"
"1103","24"
"1104","17"
"1105","53"
"1106","53"
"1107","91"
"1108","55"
"1109","72"
"1110","47"
"1111","20"
"1112","77"
"1113","84"
"1114","08"
"1115","31"
"1116","28"
"1117","80"
"1118","49"
"1119","74"
"1120","40"
"1121","67"
"1122","78"
"1123","60"
"1124","24"
"1125","25"
"1126","42"
"1127","53"
"1128","45"
"1129","47"
"1130","11"
"1131","46"
"1132","94"
"1133","47"
"1134","09"
"1135","37"
"1136","84"
"1137","15"
"1138","52"
"1139","09"
"1140","95"
"1141","84"
"1142","46"
"1143","45"
"1144","65"
"1145","41"
"1146","07"
"1147","34"
"1148","69"
"1149","33"
"1150","47"
"1151","56"
"1152","42"
"1153","56"
"1154","86"
"1155","82"
"1156","04"
"1157","11"
"1158","77"
"1159","06"
"1160","64"
"1161","93"
"1162","90"
"1163","57"
"1164","60"
"1165","10"
"1166","99"
"1167","15"
"1168","15"
"1169","00"
"1170","58"
"1171","56"
"1172","41"
"1173","02"
"1174","60"
"1175","90"
"1176","12"
"1177","86"
"1178","18"
"1179","85"
"1180","82"
"1181","45"
"1182","54"
"1183","47"
"1184","15"
"1185","27"
"1186","31"
"1187","44"
"1188","13"
"1189","11"
"1190","04"
"1191","24"
"1192","22"
"1193","30"
"1194","92"
"1195","41"
"1196","51"
"1197","92"
"1198","16"
"1199","10"
"1200","95"
"1201","76"
"1202","23"
"1203","95"
"1204","86"
"1205","76"
"1206","97"
"1207","63"
"1208","36"
"1209","06"
"1210","03"
"1211","19"
"1212","35"
"1213","98"
"1214","55"
"1215","95"
"1216","04"
"1217","28"
"1218","93"
"1219","28"
"1220","14"
"1221","09"
"1222","44"
"1223","43"
"1224","88"
"1225","44"
"1226","59"
"1227","79"
"1228","40"
"1229","34"
"1230","09"
"1231","06"
"1232","32"
"1233","43"
"1234","17"
"1235","16"
"1236","05"
"1237","95"
"1238","07"
"1239","46"
"1240","19"
"1241","10"
"1242","58"
"1243","58"
"1244","30"
"1245","52"
"1246","50"
"1247","53"
"1248","84"
"1249","65"
"1250","67"
"1251","39"
"1252","18"
"1253","92"
"1254","10"
"1255","36"
"1256","28"
"1257","87"
"1258","76"
"1259","40"
"1260","48"
"1261","30"
"1262","54"
"1263","12"
"1264","29"
"1265","07"
"1266","06"
"1267","85"
"1268","57"
"1269","57"
"1270","70"
"1271","12"
"1272","08"
"1273","27"
"1274","90"
"1275","62"
"1276","10"
"1277","03"
"1278","73"
"1279","54"
"1280","50"
"1281","31"
"1282","51"
"1283","25"
"1284","56"
"1285","57"
"1286","07"
"1287","02"
"1288","50"
"1289","49"
"1290","45"
"1291","45"
"1292","00"
"1293","37"
"1294","00"
"1295","00"
"1296","13"
"1297","83"
"1298","39"
"1299","76"
"1300","51"
"1301","36"
"1302","63"
"1303","86"
"1304","83"
"1305","31"
"1306","11"
"1307","66"
"1308","00"
"1309","76"
"1310","69"
"1311","08"
"1312","82"
"1313","11"
"1314","04"
"1315","19"
"1316","84"
"1317","26"
"1318","34"
"1319","14"
"1320","20"
"1321","96"
"1322","22"
"1323","46"
"1324","27"
"1325","92"
"1326","60"
"1327","16"
"1328","69"
"1329","28"
"1330","04"
"1331","19"
"1332","39"
"1333","19"
"1334","17"
"1335","02"
"1336","39"
"1337","57"
"1338","10"
"1339","10"
"1340","67"
"1341","32"
"1342","33"
"1343","08"
"1344","94"
"1345","03"
"1346","91"
"1347","07"
"1348","42"
"1349","59"
"1350","71"
"1351","44"
"1352","96"
"1353","34"
"1354","12"
"1355","89"
"1356","63"
"1357","09"
"1358","71"
"1359","00"
"1360","79"
"1361","50"
"1362","10"
"1363","07"
"1364","54"
"1365","33"
"1366","93"
"1367","74"
"1368","71"
"1369","06"
"1370","00"
"1371","07"
"1372","12"
"1373","27"
"1374","79"
"1375","72"
"1376","02"
"1377","90"
"1378","02"
"1379","74"
"1380","51"
"1381","52"
"1382","89"
"1383","97"
"1384","46"
"1385","03"
"1386","73"
"1387","52"
"1388","32"
"1389","63"
"1390","74"
"1391","09"
"1392","31"
"1393","57"
"1394","47"
"1395","40"
"1396","01"
"1397","48"
"1398","00"
