unit_type,dist_name,prov_name,dist_id,prov_id,population_2015_adj,population_2015,population_2010_adj,population_2010
District,Gurbuz,Khost,2607,26,44104.108158201,35080.9356096461,38292.9217303693,30604.9082004875
Provincial_Center,Khost(Matun),Khost,2601,26,192807.703343987,153361.558598518,166119.938164786,132768.286157623
District,Nadir Shah Kot,Khost,2604,26,45187.3196495473,35942.5344075263,39233.4072813317,31356.5737722665
District,Bak,Khost,2612,26,30714.9813903887,24431.0637148581,26667.954974236,21313.8684167564
District,Jaji Maydan,Khost,2613,26,33490.204752624,26638.5099913031,29077.5133576691,23239.6629820988
District,Sabri,Khost,2602,26,98562.6656881161,78397.9234242253,85575.9805462249,68395.0167810321
District,Musa Khel,Khost,2603,26,80008.9556008205,63640.0835673362,69466.9246298745,55520.1517503709
District,Qalandar,Khost,2609,26,14241.4075771309,11327.7857578471,12364.9490455855,9882.4564204384
District,Dand wa Patan,Paktya,1211,12,36640.2936555035,29144.1276593842,31812.5434194729,25425.5855466388
District,Chamkani,Paktya,1210,12,69679.7682983242,55424.1204450615,60498.7099100575,48352.4739573114
District,Jani Khel,Paktya,1209,12,33357.3567492887,26532.8415642008,28962.1682708263,23147.4756494462
District,Ali Khel (Jaji),Paktya,1208,12,86762.7977826931,69012.1693401188,75330.8749611974,60206.8055015579
District,Lija Ahmad Khel,Paktya,1207,12,57926.9955851436,46075.8250202723,50294.4969253801,40196.9440777712
District,Ahmadaba,Paktya,1203,12,38703.1938413233,30784.9839963838,33603.6346905828,26857.0814392567
District,Sayed Karam,Paktya,1202,12,90080.6046955958,71651.1928865053,78211.523625806,62509.1123150811
District,Zadran,Paktya,1206,12,51651.7103894204,41084.3891502097,44846.0470181815,35842.3716207333
District,Shawak,Paktya,1205,12,6545.4125630111,5206.299462527,5682.984671548,4542.0200217441
District,Zurmat,Paktya,1204,12,148302.715584621,117961.754009448,128762.245768726,102910.840839926
District,Kharwar,Logar,506,5,36686.9537732974,29181.2428539991,31853.0574098229,25457.9653001502
Provincial_Center,Gardez,Paktya,1201,12,115226.267300658,91652.3530774415,99091.7483934015,79197.2412241846
District,Azra,Logar,507,5,29046.0136924498,23103.5471458659,25218.8901169673,20155.7304648012
District,Khoshi,Logar,502,5,33351.0476235449,26527.8234461248,28956.6938661337,23143.1006034911
District,Charkh,Logar,505,5,62103.197719872,49397.6270489693,53920.4388260841,43094.9122190475
District,Baraki Barak,Logar,504,5,120633.969325244,95953.7060683072,104739.159503371,83710.8338714093
Provincial_Center,Pul-e- Alam,Logar,501,5,145107.943676934,115420.594950922,125639.656660825,100415.165906429
District,Mohammad Agha,Logar,503,5,105354.963394701,83800.5986832827,91473.3201299608,73108.3567589149
District,Nerkh,Wardak,403,4,81431.7478637621,64771.7876689062,70702.2465940267,56507.4599807933
Provincial_Center,Maydan Shahr,Wardak,401,4,55485.9036784619,44134.1508455798,48175.0433854461,38503.0096642896
District,Jalrez,Wardak,402,4,73607.1696048603,58548.0240455344,63908.6395159848,51077.796318952
District,Saydabad,Wardak,407,4,158604.866439417,126156.213226266,137706.984831303,110059.753734097
District,Jaghatu,Wardak,409,4,44331.1291295737,35261.5115111731,38490.0297646001,30762.4429809824
District,Chak,Wardak,406,4,117038.972905561,93094.2014209032,101617.838542283,81216.1736840606
District,Day Mirdad,Wardak,405,4,42392.9356185794,33719.8485656139,36807.2127836049,29417.482965285
District,Hesa Awal-e- Behsud,Wardak,404,4,51569.8058403879,41019.2408299074,44774.9318132736,35785.5353813991
District,Markaz-e-Behsud,Wardak,408,4,164675.234899078,130984.654218313,142977.515501982,114272.130738624
District,Hesarak,Nangarhar,610,6,43137.882343173,34312.3876996785,37454.0062901899,29934.4206478149
District,Sherzad,Nangarhar,611,6,91984.5819864348,73165.6377153099,79864.6289206445,63830.3263266757
District,Khowgiani,Nangarhar,604,6,185863.525204908,147838.077220697,161374.023701437,128975.199836789
District,Deh Bala,Nangarhar,613,6,56604.7173646987,45024.0692466945,49146.4419009686,39279.382929936
District,Chaparhar,Nangarhar,605,6,84847.108046785,67488.4050551504,73667.5950113982,58877.4585254192
District,Surkh Rod,Nangarhar,603,6,189406.936903834,150656.543810129,164450.545015514,131434.049907386
Provincial_Center,Jalalabad,Nangarhar,601,6,263194.402786553,209347.978680909,214302.729488611,171277.484036505
District,Achin,Nangarhar,617,6,145417.541281775,115666.85502848,126257.232479408,100908.755832151
District,Kot,Nangarhar,614,6,71924.772563424,57209.8264128603,62447.9153286703,49910.3399654925
District,Nazian,Nangarhar,621,6,22935.9264357463,18243.5098874439,19913.8726300616,15915.79301681
District,Shinwar,Nangarhar,618,6,62909.2449508309,50038.7665275037,54620.2801614106,43654.2466925234
District,Rodat,Nangarhar,606,6,95607.8108726703,76047.5972865559,83010.4603039809,66344.5723261535
District,Dur Baba,Nangarhar,622,6,34006.387322858,27049.0873706006,29525.6814470999,23597.8541728109
District,Muhmand Dara,Nangarhar,619,6,80561.2063669711,64079.3475299478,69946.4096859694,55903.3706067652
District,Gizab,Daykundi,2205,22,95647.9578419626,76079.5309378384,83045.3184009474,66372.4311967893
Provincial_Center,Nili,Daykundi,2201,22,55545.9012225512,44181.8764666384,48227.1372839855,38544.645241187
District,Miramor,Daykundi,2209,22,87568.8629767783,69653.3231547028,76030.7320289761,60766.1530938465
District,Shahristan,Daykundi,2206,22,90897.7680071183,72301.1731973514,78921.0184245817,63076.1625268236
District,Ashtarlay,Daykundi,2202,22,65494.356410455,52094.9950424023,56864.7763026999,45448.117562877
District,Waras,Bamyan,1007,10,151119.116357509,120201.952073309,131207.550566654,104865.203146263
District,Panjab,Bamyan,1004,10,94679.1555731529,75308.9370639338,82204.1695255628,65700.1574352882
Provincial_Center,Bamyan,Bamyan,1001,10,105929.55330226,84257.6346322768,91972.20540585,73507.0811234331
District,Sayghan,Bamyan,1002,10,33393.1418999378,26561.3048261134,28993.2378456583,23172.3074667752
District,Surkhe Parsa,Parwan,310,3,60430.8454273343,48067.4198833555,52468.4406009391,41934.4275842644
District,Paghman,Kabul,104,1,184616.144813076,146845.889503643,160290.995202251,128109.604612432
District,Chahar Asyab,Kabul,105,1,64958.6155508608,51668.860880658,56399.625536859,45076.3548284173
District,Musayi,Kabul,106,1,35720.2335010469,28412.3016273677,31013.7115670443,24787.1341347098
Capital,Kabul,Kabul,101,1,4833131.17513783,3844330.43459956,3866493.82350162,3090223.46154749
District,Bagrami,Kabul,107,1,86285.1305477396,68632.2284425721,74916.1449553818,59875.340469487
District,Khak-e- Jabbar,Kabul,112,1,22594.2729993481,17971.7551157307,19617.2357986178,15678.7121204305
District,Deh Sabz,Kabul,102,1,80067.4665168375,63686.6216793805,69517.7215358466,55560.751678735
District,Kalakan,Kabul,109,1,52268.4904432595,41574.9834166169,45381.5578894913,36270.3691521883
District,Mir Bacha Kot,Kabul,110,1,77115.391220212,61338.5044148862,66954.6132761836,53512.2344835103
District,Shakardara,Kabul,103,1,126564.974608824,100671.295155704,109888.689785361,87826.4990031272
District,Guldara,Kabul,111,1,31934.0200666189,25400.702212438,27726.3728100881,22159.7892519608
District,Farza,Kabul,115,1,38446.6717486382,30580.943698585,33380.9114686251,26679.0751722753
District,Estalef,Kabul,114,1,50391.1654558778,40081.7368371934,43751.5927618295,34967.6497674882
District,Qarabagh,Kabul,108,1,125500.176092967,99824.3443347365,108964.182973757,87087.605911158
Provincial_Center,Chaharikar,Parwan,301,3,250875.910127357,199549.701702885,214426.678466946,171376.546389557
District,Koh-e- Safi,Parwan,308,3,63855.6020830572,50791.5101053268,55441.94839333,44310.9478243291
District,Bagram,Parwan,304,3,149672.261071116,119051.108072028,129951.345083684,103861.202811599
District,Sayd Khel,Parwan,305,3,64433.4295352101,51251.1210526228,55943.6374272108,44711.9139119685
District,Jabalussaraj,Parwan,302,3,94009.9203236122,74776.617271034,81623.1118881926,65235.758967666
District,Surobi,Kabul,113,1,89351.4043472707,71071.1760005578,77578.4011839032,62003.1004849561
District,Hesa Awal-e- Kohestan,Kapisa,207,2,42622.0997477267,33902.1283007171,37006.1806897409,29576.5051751472
District,Lal Pur,Nangarhar,620,6,26937.5322900712,21426.4361010641,23388.2253941745,18692.6053630114
District,Goshta,Nangarhar,616,6,38194.2585221305,30380.1711748615,33161.7575924098,26503.9210433103
District,Behsud,Nangarhar,602,6,164260.275180936,130654.593410313,142617.237922996,113984.18408969
District,Kama,Nangarhar,607,6,105454.596885443,83879.8480980694,91559.8208480179,73177.4907279313
District,Kuz Kunar,Nangarhar,608,6,76203.9066298157,60613.4991910309,66163.230512619,52879.7347823679
District,Dara-e-Nur,Nangarhar,609,6,57426.5968685448,45677.8050227985,49860.0304568484,39849.705787994
District,Hisa Duwum-e- Kohestan,Kapisa,204,2,73581.075414449,58527.2697508782,63885.984605968,51059.6889965683
Provincial_Center,Mahmud-e- Raqi,Kapisa,201,2,124011.270063907,98640.0508511066,107671.462789729,86054.4207551479
District,Koh Band,Kapisa,203,2,12454.924607195,9906.7964202687,10813.8548406065,8642.7733153775
District,Nejrab,Kapisa,202,2,195488.931428842,155494.243119201,169731.181197749,135654.503146967
District,Tagab,Kapisa,205,2,33887.3706638217,26954.4204794243,29422.3480882272,23515.2666023187
District,Alasay,Kapisa,206,2,63316.2530934513,50362.5069327727,54973.6596477628,43936.679581888
District,Daulat Shah,Laghman,705,7,46276.1519324938,36808.6048251027,40178.7765802415,32112.1414911756
District,Alishang,Laghman,702,7,99493.4629522413,79138.29213202,86384.1367504299,69040.9189261496
District,Qarghayi,Laghman,703,7,128944.821930364,102564.257032678,111954.966759235,89477.9346151501
